german_idiom	translation	letters_only	length
Sein Akzent hat ihn verraten.	It was his accent that gave him away.	seinakzenthatihnverraten	24
(um es) ganz kurz (zu machen), ...	(to put it) in a nutshell, ...	umesganzkurzzumachen	20
Unter uns (gesagt)	Between ourselves // between you and me	unterunsgesagt	14
Ein Kinderspiel	A piece of cake // a piece of pudding	einkinderspiel	14
Das ist kinderleicht	That’s childishly simple	dasistkinderleicht	18
Nichts leichter als das!	Nothing easier!	nichtsleichteralsdas	20
Das ist leichter gesagt als getan.	That’s easier said than done.	dasistleichtergesagtalsgetan	28
Sesam, öffne dich!	Open, Sesamy!	sesamöffnedich	14
Den Anschluss verlieren	Miss the bus	denanschlussverlieren	21
Sie hatten eine kleine Meinungsverschiedenheit.	They had a tiff.	siehatteneinekleinemeinungsverschiedenheit	42
Die Schule schwänzen	Play wag/truant // play hooky bes. AE	dieschuleschwänzen	18
Nicht zu knapp	With a vengeance	nichtzuknapp	12
Und wie	With a vengeance	undwie	6
Und zwar kräftig	With a vengeance	undzwarkräftig	14
Ganz gehörig	With a vengeance	ganzgehörig	11
Sehen, wie der Hase läuft	See, which way the cat jumps	sehenwiederhaseläuft	20
Das Lustigste daran ist ...	The cream of the joke is ...	daslustigstedaranist	20
Sich lächerlich machen	Play the fool // act/play the (giddy) goat	sichlächerlichmachen	20
Auf Raten kaufen	Buy on the never-never slang	aufratenkaufen	14
Verdächtig	Fishy	verdächtig	10
Faul	Fishy	faul	4
Ich kann nichts dafür, wenn Sie einen leichten Schlaf haben.	I can’t help it if you’re a light sleeper.	ichkannnichtsdafürwennsieeinenleichtenschlafhaben	49
Wir müssen der Sache auf den Grund gehen.	We must get to the bottom of this.	wirmüssendersacheaufdengrundgehen	33
Gör(e)	Brat	göre	4
Rotznäsiges kleines Gör/Balg	Snot-nosed little brat	rotznäsigeskleinesgörbalg	25
Tagaus, tagein	Day in, day out // day in and day out	tagaustagein	12
Durch dick und dünn	Through thick and through thin	durchdickunddünn	16
Mit jmdm. durch dick und dünn gehen	Stick by s.o. through thick and thin	mitjmdmdurchdickunddünngehen	28
Die Kugel hat nur eine Rippe gestreift. Er wird in ein paar Tagen wieder auf den Beinen sein.	The bullet only grazed a rib. He’ll be up and about in a couple of days.	diekugelhatnureinerippegestreifterwirdineinpaartagenwiederaufdenbeinensein	74
Schade, dass sie ihn nicht gleich umgelegt haben.	Pity they didn’t finish him off while they were about it.	schadedasssieihnnichtgleichumgelegthaben	40
Das ist haarsträubend.	That’s hair-raising.	dasisthaarsträubend	19
Mir standen die Haare zu Berge.	My hair stood on end.	mirstandendiehaarezuberge	25
Ich kam, sah und siegte.	I came, I saw, I conquered.	ichkamsahundsiegte	18
Den Fehdehandschuh hinwerfen	Throw down the gauntlet	denfehdehandschuhhinwerfen	26
Vor die Füße werfen	Throw down the gauntlet	vordiefüßewerfen	16
Ins Gesicht schleudern/werfen	Throw down the gauntlet	insgesichtschleudernwerfen	26
Den Fehdehandschuh aufnehmen/aufheben	Pick/take up the gauntlet	denfehdehandschuhaufnehmenaufheben	34
Spießruten laufen	Run the gauntlet	spießrutenlaufen	16
Das Handtuch werfen	Throw in the towel	dashandtuchwerfen	17
Das Kriegsbeil vergraben	Bury the hatched	daskriegsbeilvergraben	22
Ein Dingsbums	A whatsit	eindingsbums	12
Jmdm. auf die Nerven gehen/fallen	Get up s.o.’s nostril // give s.o. the pip	jmdmaufdienervengehenfallen	27
Das ist ein Betrug.	This is a swiz.	dasisteinbetrug	15
Ich bin nicht in Stimmung.	I’m not in mood.	ichbinnichtinstimmung	21
(im Meer) ertrinken	Go to Davy Jones’s locker	immeerertrinken	15
Ertrunken sein	Be in Davy Jones’s locker	ertrunkensein	13
Was ist los? Warum machst du so ein Gesicht?	What’s the matter? Why the long face?	wasistloswarummachstdusoeingesicht	34
Mit einem langen Gesicht zu Hause sitzen	Sit at home with a long face	miteinemlangengesichtzuhausesitzen	34
Es steht mir bis hier. Mir steht’s bis hier. = Ich habe die Nase voll.	I’m up to here.	esstehtmirbishiermirstehtsbishierichhabedienasevoll	51
Nervös sein	Be on edge // have the jitters	nervössein	10
Manchen Leuten kann man es nie recht machen.	There’s no pleasing some people.	manchenleutenkannmanesnierechtmachen	36
Du solltest schon längst im Bett sein.	It’s way past your bedtime.	dusolltestschonlängstimbettsein	31
Hereinplatzen	Butt in	hereinplatzen	13
Ich bin auf etwas Neues gestoßen.	I hit on something new.	ichbinaufetwasneuesgestoßen	27
Das ist ja die Kunst.	That’s the art in it.	dasistjadiekunst	16
Wir drehen uns im Kreise.	We’re going around in circles.	wirdrehenunsimkreise	20
Unsere Motive könnten missverstanden werden.	Our motives might be misconstrued.	unseremotivekönntenmissverstandenwerden	39
Sie sind etwas unerfahren.	They are a bit green.	siesindetwasunerfahren	22
Mein Magen knurrt.	My stomach is rumbling.	meinmagenknurrt	15
Es ist reine Zeitverschwendung, mit dir zu reden.	It’s a waste of time talking to you.	esistreinezeitverschwendungmitdirzureden	40
Mit sofortiger Wirkung ...	Effective immediately, ...	mitsofortigerwirkung	20
Der Film ist ein riesiger Erfolg.	The film is a roaring smash.	derfilmisteinriesigererfolg	27
Kassenschlager	Box office smash	kassenschlager	14
Die Spitze eines Eisbergs	The tip of an iceberg	diespitzeeineseisbergs	22
Als ich klein war	When I was little	alsichkleinwar	14
Ich würde lieber etwas tun	I’d sooner/rather do s.th.	ichwürdelieberetwastun	22
Da fällt mir ein.	Come to think of it.	dafälltmirein	13
Diese Möglichkeiten kommen in Frage	Those possibilities come into question	diesemöglichkeitenkommeninfrage	31
Seid ihr von Sinnen?	Have you taken leave of your senses?	seidihrvonsinnen	16
Etwas in dieser Richtung	Something along these lines	etwasindieserrichtung	21
Er hat etwas über den Durst getrunken.	He’s had one or two to many.	erhatetwasüberdendurstgetrunken	31
Einen schweren Kopf haben	Have a thick head	einenschwerenkopfhaben	22
O.K. Ich gebe zu, ich war ziemlich angesäuselt.	Alright, I admit I was pretty squiffy.	okichgebezuichwarziemlichangesäuselt	36
Er ist zu angeheitert, um zu fahren.	He’s too tipsy to drive.	eristzuangeheitertumzufahren	28
Ich verstehe überhaupt nichts von Computern.	I don’t understand the first thing about computers.	ichversteheüberhauptnichtsvoncomputern	38
Sauregurkenzeit	Silly season	sauregurkenzeit	15
Das ist ja nicht besonders lustig hier.	Not a lot of laughs in here.	dasistjanichtbesonderslustighier	32
Ich habe auch schon ein paar Dummheiten gemacht.	I’ve done some stupid things in my time.	ichhabeauchschoneinpaardummheitengemacht	40
Von nun an geht’s bergauf	From here it’s all uphill	vonnunangehtsbergauf	20
